Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link,Used In Blog,Used Slug,Used Title,Used Date,Category
19854389921,Kitchen Dust Cabinet Rack Dustproof Storage Cabinet Carbon Steel Multi-function Rack Enclosed Rack,1.4K,10K+,Kcyy.ph,7.5%,₱104.93,https://shopee.ph/product/427607863/19854389921,https://s.shopee.ph/2VlaY03qg5,,,,,Kitchen
26321728734,HODEKT Cordless Hair Straightener Comb Portable Electric Hair Curler  ​Comb,799,10K+,HODEKT Official Store,6.5%,₱51.94,https://shopee.ph/product/804104458/26321728734,https://s.shopee.ph/20pJx55kh0,,,,,Other
3962666956,500#Men's casual shoes lightweight breathable woven running shoes wholesale,85,10K+,789klk,6.5%,₱5.53,https://shopee.ph/product/93765097/3962666956,https://s.shopee.ph/2B8k9O57M3,,,,,Fashion
23164696415,Buy1 Take1 Baby Towel Bath Cotton Bath Towel for Baby Hooded Blanket for Baby Blanket Set Bath Towel,59,6K+,Baby Care Shop,6.5%,₱3.84,https://shopee.ph/product/992519443/23164696415,https://s.shopee.ph/1gCTYT71My,,,,,Baby
16597851819,Redchef Removable Handle Series Nonstick Ceramic Rock Cookware Set 5Pcs/16Pcs No PFAS& PTFE& PFOA  Non Stick Pan Suitable for All Stoves,2.0K,10K+,  Redchef Store,7.5%,₱149.93,https://shopee.ph/product/1016232059/16597851819,https://s.shopee.ph/1qVtkm6O21,,,,,Kitchen
27414416831,DOVE Serum Bar Niacinamide + Vitamin C and E 3s 90g,238,10K+,Watsons Official Store,6.5%,₱15.47,https://shopee.ph/product/92328166/27414416831,https://s.shopee.ph/1LZd9r8I2w,,,,,Beauty
27960907170,[Free Strap] Xiaomi Redmi Watch 5 Active 2.0'' LCD Display Bluetooth Phone Call 5ATM Alexa Built In,1.8K,10K+,Authorized Xiaomi Mall PH,5.5%,₱98.95,https://shopee.ph/product/1035296590/27960907170,https://s.shopee.ph/1Vt3MA7ehz,,,,,Tech
2470177989,Tigernu 8080 Brand Long Clutch Wallets Men Purse With Coin Pocket Fashion Male,495,2K+,Tigernu Official Shop,5.5%,₱27.23,https://shopee.ph/product/162166014/2470177989,https://s.shopee.ph/3fxXw8zPJQ,,,,,Bags
27856751145,[3 Months 0% SPayLater] OPPO A3x | Snapdragon® 6s 4G Gen1 | Military-Grade Shock Resistance,3.7K,10K+,OPPO OFFICIAL STORE,5.5%,₱204.60,https://shopee.ph/product/24681653/27856751145,https://s.shopee.ph/3qGy8RylyT,,,,,Other
24909562668,N15 Mini Fan 3000mAh Portable USB Rechargeable Cooling Hand Fan with Base Stand 5 Speed Neck Fan,48,10K+,K&T MARKETING,5.5%,₱2.64,https://shopee.ph/product/29975023/24909562668,https://s.shopee.ph/3LKhXX0fzO,,,,,Cooling
